artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,
Moloko,The Time Is Now,318280,False,2000,54,682,743,9,-10644,0,165,0.35,0.000129,277,546,127962,"pop, Dance/Electronic",
Chicane,Don't Give Up,210786,False,2016,47,644,0.72,10,-9635,0,0.0419,0.00145,504,0.0839,0.53,132017,Dance/Electronic,
DMX,Party Up,268866,True,1999,71,0.51,931,11,-3302,1,347,0.0738,0.0,0.5,0.53,201936,"hip hop, pop",
Debelah Morgan,Dance with Me,220106,False,2000,49,0.85,674,7,-7981,0,0.0373,309,0.000645,0.0356,0.74,115005,"pop, R&B",
Madonna,Music,225973,False,2000,58,736,802,7,-8527,1,0.0663,0.00149,0.0876,0.14,871,119854,pop,
Ruff Endz,No More,242560,False,2000,52,839,641,10,-5669,0,0.0858,0.0324,4.56e-06,0.0602,927,97004,R&B,
Britney Spears,Born to Make You Happy,243533,False,1999,58,633,922,11,-4842,0,0.0454,116,0.000465,71,686,84.11,pop,
Montell Jordan,Get It On Tonite,276266,False,1999,59,813,491,10,-9923,0,77,241,4.61e-05,0.0817,868,99008,"hip hop, pop, R&B",
Kylie Minogue,Spinning Around,207866,False,2000,55,761,662,6,-7645,0,0.0548,292,6.19e-05,0.0956,631,120043,"pop, Dance/Electronic",
JAY-Z,Big Pimpin',283066,True,1999,69,0.88,814,11,-6307,0,0.14,168,0.00672,0.0584,942,138083,hip hop,
LeAnn Rimes,I Need You,229826,False,2001,61,478,736,7,-7124,1,0.0367,0.02,9.58e-05,118,564,144705,"pop, country",
Avant,Separated,255600,False,2000,55,798,0.48,0,-5564,1,0.0276,247,0.0,237,643,108241,"pop, R&B",
Enrique Iglesias,Be With You,219360,False,1999,54,683,866,1,-5436,0,0.0329,0.0395,0.00161,0.0483,542,121996,"pop, latin",
Toni Braxton,He Wasn't Man Enough,261933,False,2000,66,739,947,11,-1916,0,0.0411,0.00916,3.14e-05,326,766,88009,"pop, R&B",
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,False,2000,36,852,0.75,8,-5153,1,168,434,0.0,265,934,72016,"hip hop, pop, R&B",
Dr. Dre,Forgot About Dre,222293,True,1999,79,924,0.74,8,-1299,1,0.0774,0.0827,0.0,163,621,133974,hip hop,
Missy Elliott,Hot Boyz,215466,True,1998,49,727,445,1,-11241,1,291,339,0.0,0.18,527,81125,"hip hop, pop, R&B",
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,False,1999,68,0.63,625,6,-5088,0,0.0252,231,0.0,0.0765,683,167998,pop,
Samantha Mumba,Gotta Tell You,201946,False,2018,43,729,632,0,-8.75,0,0.0279,191,0.0,166,774,109981,pop,
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,False,2000,59,772,688,1,-4715,0,0.0405,0.0548,9.79e-05,0.0725,348,98.0,"pop, R&B",
Mary Mary,Shackles (Praise You),198346,False,2000,64,779,834,7,-2773,1,162,0.0343,0.0,0.0886,0.8,100.46,R&B,
Next,Wifey,243666,False,2004,52,829,652,7,-8693,0,108,67,0.0,0.0812,726,99581,"hip hop, pop, R&B",
Janet Jackson,Doesn't Really Matter,265026,False,2001,47,771,796,5,-3081,0,76,0.0993,0.00278,0.0981,801,99316,"pop, R&B",
Ricky Martin,She Bangs - English Version,280626,False,2000,60,0.63,0.95,1,-4012,1,0.0806,0.000915,6.51e-06,373,858,143866,"pop, latin",
Jagged Edge,He Can't Love U,244053,False,2000,55,721,836,8,-3972,0,206,112,0.0,235,508,126279,"hip hop, pop, R&B",
Sisqo,Incomplete,274226,True,1999,60,746,443,1,-7693,0,0.0771,282,0.0,0.14,272,119311,"hip hop, pop, R&B",
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,True,2000,59,0.8,922,4,-5125,0,0.24,301,9.31e-06,0.0352,801,98631,hip hop,
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,False,1999,59,348,532,10,-5882,1,0.0331,592,0.0,106,148,129297,"pop, R&B",
Baha Men,Who Let The Dogs Out,198400,False,2000,65,869,887,0,-4505,1,0.0993,0.0605,0.0,148,784,129221,R&B,
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,True,1999,63,854,543,8,-6166,0,0.0844,0.0402,5.73e-05,0.0419,868,103032,"pop, R&B",
LeAnn Rimes,Can't Fight The Moonlight,215506,False,2001,65,628,834,6,-6341,0,0.0497,403,0.0,51,626,97865,"pop, country",
Oasis,Go Let It Out,278666,False,2000,0,408,849,2,-5631,1,0.0333,0.0136,2.51e-05,0.56,628,84192,"Folk/Acoustic, rock",
DJ Ötzi,Hey Baby (Radio Mix),219240,False,2010,58,666,968,10,-3196,1,46,123,0.0,347,834,135099,"pop, easy listening, Dance/Electronic",
P!nk,Most Girls,298960,False,2000,52,742,732,2,-6046,0,0.0311,0.0424,0.00446,101,694,97922,pop,
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,False,2011,0,471,514,1,-5599,1,0.0315,584,0.0,103,373,117338,"pop, R&B",
Craig David,Fill Me In,257200,False,2000,60,682,744,8,-6981,1,0.0365,376,0.00951,0.06,827,132493,"hip hop, pop, R&B",
Christina Aguilera,I Turn to You,273706,False,1999,61,599,0.47,1,-8356,1,0.0376,0.38,0.0,111,298,127177,pop,
Madonna,American Pie,273533,False,2000,58,631,734,5,-7.48,0,36,348,0.0,135,591,124036,pop,
Red Hot Chili Peppers,Otherside,255373,False,1999,78,458,795,0,-3265,1,0.0574,0.00316,0.000202,0.0756,513,123229,rock,
Sammie,I Like It,251040,False,2000,55,826,656,9,-8529,1,0.0617,0.0101,0.000113,0.0272,852,129963,"hip hop, pop, R&B",
Craig David,7 Days,235133,False,2000,70,659,812,4,-7499,0,0.0487,0.23,0.0,0.0951,888,83014,"hip hop, pop, R&B",
Santana,Maria Maria (feat. The Product G&B),261973,False,1999,66,777,601,2,-5931,1,126,0.0406,0.00201,0.0348,0.68,97911,"rock, blues, latin",
Kandi,Don't Think I'm Not,243533,False,2000,55,859,622,11,-8196,1,0.0445,0.0661,0.0,0.0394,433,134007,"pop, R&B",
P!nk,There You Go,202800,False,2000,55,822,847,10,-6729,0,0.0917,0.0854,0.0,0.0452,668,107908,pop,
Vengaboys,Shalala Lala,214819,False,2000,58,751,901,2,-5802,1,0.0328,0.0504,0.00308,0.0395,973,124017,pop,
Ronan Keating,Life Is A Rollercoaster,234826,False,2000,59,655,791,0,-8923,1,0.0302,0.1,0.000124,334,862,118981,"pop, rock",
Madison Avenue,Don't Call Me Baby,228140,False,1999,56,808,982,3,-6588,0,0.0311,0.0585,0.00689,0.35,961,124999,Dance/Electronic,
Destiny's Child,"Jumpin', Jumpin'",230200,False,1999,70,771,685,1,-4639,1,0.0567,0.00543,0.00157,0.0537,683,88997,"pop, R&B",
Céline Dion,That's the Way It Is,241373,False,1999,64,634,886,9,-5424,1,0.0434,154,0.0,118,577,93.04,pop,
3 Doors Down,Kryptonite,233933,False,2000,78,545,865,11,-5708,0,0.0286,0.00664,1.1e-05,168,543,99009,"pop, rock, metal",
Carl Thomas,I Wish,226760,False,2000,52,736,666,1,-4929,1,0.0337,0.0593,3.82e-05,107,224,89824,"pop, R&B",
Mystikal,Shake Ya Ass,256973,True,2000,57,914,607,7,-5658,1,0.32,0.0626,0.0,0.0515,666,98054,"hip hop, pop",
Fuel,Hemorrhage (In My Hands),236866,False,2000,49,313,831,1,-3894,1,0.0404,0.000127,0.000341,0.24,332,152034,"rock, pop, metal",
Donell Jones,Where I Wanna Be,253626,False,1999,57,664,396,5,-9131,0,0.0298,0.52,0.0,268,453,102053,"pop, R&B",
Savage Garden,Crash and Burn,281466,False,1999,54,581,607,4,-8458,1,28,189,1.6e-06,0.0882,213,102.03,pop,
Westlife,My Love,231760,False,2000,68,491,593,0,-5975,1,0.0255,98,0.0,257,328,144142,pop,
All Saints,Pure Shores,268746,False,2000,62,631,664,6,-9197,1,0.0242,0.0498,0.00042,0.0696,407,100618,pop,
Destiny's Child,"Independent Women, Pt. 1",221133,False,2001,65,0.73,602,6,-3782,0,206,362,3.69e-06,169,927,97954,"pop, R&B",
*NSYNC,It's Gonna Be Me,191040,False,2000,60,644,874,0,-4666,0,0.0801,0.0459,2.24e-06,0.0584,882,165.09,pop,
Erykah Badu,Bag Lady,348893,False,2000,54,724,416,5,-8964,0,0.0841,365,0.0,0.0969,578,151181,"hip hop, R&B",
Marc Anthony,You Sang To Me,347106,False,1999,56,578,894,10,-5.42,1,0.0296,0.0103,2.66e-06,216,741,165.98,"pop, latin",
Matchbox Twenty,Bent,256133,False,2000,54,518,0.83,6,-6814,0,0.0386,0.0404,3.85e-06,375,527,95468,"pop, rock",
Gabrielle,Rise,219093,False,2001,60,558,481,8,-9487,1,26,315,8.83e-06,0.09,631,144673,"pop, R&B",
Backstreet Boys,Shape of My Heart,230093,False,2000,70,575,786,9,-4353,1,0.0296,252,0.0,159,518,96102,pop,
Creed,With Arms Wide Open,274800,False,1999,64,0.41,539,0,-8412,1,0.0302,0.00425,0.00089,117,141,138852,"pop, rock, metal",
The Corrs,Breathless,207506,False,2000,68,607,0.82,11,-7754,1,0.0597,0.0541,6.8e-05,269,768,126988,"pop, Folk/Acoustic",
Joe,I Wanna Know,296693,False,2000,65,725,487,8,-5959,0,0.0368,0.26,1.09e-05,431,599,136086,"pop, R&B",
Wheatus,Teenage Dirtbag,241666,True,1999,71,625,0.85,4,-3904,1,0.0495,346,0.000233,174,633,94661,set(),
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,False,1999,64,829,915,8,-3205,1,106,226,1.25e-05,246,779,118903,pop,
Creed,Higher,316733,False,1999,69,459,0.83,2,-6254,1,0.0364,5.15e-05,0.00014,206,431,155827,"pop, rock, metal",
Britney Spears,Lucky,206226,False,2000,65,765,791,8,-5707,1,0.0317,262,0.000154,0.0669,966,95026,pop,
Nelly,Country Grammar (Hot Shit),287000,True,2000,68,865,664,2,-6822,1,108,0.00689,0.0,142,565,162831,"hip hop, pop, R&B",
Shaggy,It Wasn't Me,227600,False,2000,76,853,606,0,-4596,1,0.0713,0.0561,0.0,313,654,94759,"hip hop, pop",
Destiny's Child,Survivor,254026,False,2001,70,514,911,1,-2027,0,0.41,0.0559,0.0,775,619,161109,"pop, R&B",
Eminem,Stan,404106,True,2000,83,0.78,768,6,-4325,0,238,0.0371,2.34e-06,518,507,80063,hip hop,
Kylie Minogue,Can't Get You out of My Head,230640,False,2001,73,766,563,9,-7516,0,0.0339,0.0263,683,115,964,126007,"pop, Dance/Electronic",
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,False,2001,68,0.76,801,5,-3769,1,0.0534,0.0144,1.49e-05,665,653,109919,pop,
Nelly Furtado,I'm Like A Bird,243160,False,2000,1,622,608,10,-5085,1,36,138,5.38e-06,273,607,89661,"hip hop, pop, latin",
Shakira,"Whenever, Wherever",196160,False,2001,74,794,832,1,-4862,0,0.0407,237,1.14e-05,203,871,107657,"pop, latin",
Jimmy Eat World,The Middle,165853,False,2001,78,643,849,2,-5428,1,0.0526,0.0371,0.0,58,903,162152,"rock, pop",
Train,Drops of Jupiter (Tell Me),259933,False,2001,77,481,638,0,-5862,1,0.0276,153,0.0,154,497,79064,pop,
Geri Halliwell,It's Raining Men,254640,False,2001,62,637,929,5,-6.03,0,0.0447,63,0.00796,318,604,136482,pop,
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,False,2001,71,667,773,5,-4983,0,0.0586,201,0.0,404,667,89976,"pop, R&B",
Britney Spears,I'm a Slave 4 U,203600,False,2001,69,847,843,5,-3579,0,106,415,0.000134,107,963,110027,pop,
Kylie Minogue,In Your Eyes,197826,False,2001,62,689,894,6,-6342,0,0.0672,133,4.72e-05,0.0681,709,123971,"pop, Dance/Electronic",
Missy Elliott,One Minute Man (feat. Ludacris),252986,True,2001,57,622,669,9,-8419,1,329,0.0266,2.97e-06,152,0.57,93839,"hip hop, pop, R&B",
Mary J. Blige,Family Affair,265866,False,2001,76,911,551,8,-3.75,0,0.0449,132,4.12e-05,0.0863,969,92887,"pop, R&B",
Faithless,We Come 1 - Radio Edit,222435,False,2015,53,645,903,5,-10587,0,0.0441,0.00188,799,147,0.61,135977,"pop, Dance/Electronic",
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,True,2000,73,603,933,1,-3358,1,171,0.00591,0.0,206,709,96306,metal,
Lasgo,Something,220973,False,2001,65,643,981,7,-6644,0,0.0439,0.0271,8.93e-05,0.11,0.38,140.01,pop,
iio,Rapture (feat.Nadia Ali),253586,False,2006,54,661,855,8,-8403,1,0.0377,0.0722,0.0185,199,601,123943,Dance/Electronic,
Emma Bunton,What Took You So Long?,241000,False,2001,54,668,772,9,-5.4,0,0.0307,123,0.0,341,911,118011,pop,
112,It's Over Now,264933,False,2001,57,0.66,0.71,1,-4541,1,0.0409,0.0106,7.01e-06,0.0736,233,97988,"hip hop, pop, R&B",
Blue,All Rise,223546,False,2001,63,721,737,5,-2734,0,0.0324,121,0.0,165,931,97996,pop,
Jessica Simpson,Irresistible,194026,False,2001,43,657,965,8,-2771,0,0.0556,0.0285,8.84e-05,0.0552,669,93013,"pop, R&B",
Crazy Town,Butterfly,216733,False,1999,71,736,811,9,-4.17,0,81,0.00132,0.000142,107,609,103502,"rock, metal",
Michael Jackson,You Rock My World,337733,False,2001,64,854,673,4,-3132,0,185,38,0.000227,255,955,95.0,"pop, R&B",
Eve,Let Me Blow Ya Mind,230133,True,2001,73,908,557,8,-4243,0,107,242,0.0,0.0709,897,90032,"hip hop, pop, R&B",
Jennifer Lopez,Ain't It Funny,246160,False,2001,0,707,869,5,-4525,0,0.0481,104,0.000121,0.0813,621,99825,"hip hop, pop, R&B",
Brandy,Another Day in Paradise - R&B-Version,271626,False,2002,50,0.7,787,6,-5176,0,0.0327,0.00666,3.68e-05,0.0724,556,102043,"hip hop, pop, R&B",
Nickelback,How You Remind Me,223840,False,2001,78,446,764,10,-5042,1,33,0.00135,0.0,99,543,172094,"rock, metal",
Daft Punk,One More Time,320357,False,2001,76,613,697,2,-8618,1,133,0.0194,0.0,332,476,122746,"hip hop, Dance/Electronic",
Outkast,Ms. Jackson,270506,True,2000,82,843,806,4,-5946,0,269,143,0.0,0.0771,613,94948,"hip hop, pop",
Fragma,Everytime You Need Me - Radio Version,213346,False,2001,50,682,917,11,-5459,0,0.0318,0.15,0.0676,0.34,0.79,137029,"pop, Dance/Electronic",
Mariah Carey,Loverboy,229173,False,2001,42,721,0.79,1,-4125,1,124,183,0.0,0.1,821,103141,"pop, R&B",
Dido,Thank You,218360,False,1999,73,725,583,1,-9942,0,0.0427,0.3,0.000238,0.0665,762,79984,pop,
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,False,2000,57,767,759,6,-6516,1,117,0.0513,0.0,0.31,677,89989,"pop, R&B",
P.O.D.,Youth of the Nation,256240,False,2001,69,563,0.86,8,-7533,1,0.0621,0.00834,0.0106,0.39,517,97867,"rock, metal",
Jennifer Lopez,Play,211493,True,2001,57,775,729,1,-4229,0,162,0.0303,0.00247,0.0361,895,104719,"hip hop, pop, R&B",
Missy Elliott,Get Ur Freak On,211120,True,2001,68,797,0.75,0,-9369,1,247,533,108,95,0.74,177.87,"hip hop, pop, R&B",
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,False,2008,52,635,854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100851,"pop, latin",
Christina Milian,AM To PM,231213,False,2001,60,872,868,10,-3036,0,0.12,153,2.26e-05,843,822,105005,"hip hop, pop, R&B",
Roger Sanchez,Another Chance,452906,False,2000,50,0.61,0.82,3,-10029,1,0.0312,0.000211,146,138,0.45,127993,Dance/Electronic,
Gorillaz,Clint Eastwood,340920,True,2001,74,663,694,10,-8627,0,171,0.0253,0.0,0.0698,525,167953,hip hop,
2Pac,Until The End Of Time,266506,True,2001,57,757,706,8,-6665,1,203,0.0267,0.0,197,375,96976,hip hop,
Tamia,Stranger in My House,285386,False,2000,48,676,601,0,-4905,1,0.0297,103,0.0,147,206,119.94,"pop, R&B",
Mary J. Blige,No More Drama,326240,False,2001,61,653,837,6,-6818,0,124,534,7.12e-05,0.0784,0.64,97914,"pop, R&B",
Jennifer Lopez,Love Don't Cost a Thing,221226,False,2001,67,786,842,4,-5115,0,0.0707,0.00305,3.54e-06,473,685,97577,"hip hop, pop, R&B",
Jamiroquai,Little L,295400,False,2001,65,878,724,10,-5373,0,129,168,0.0116,133,904,121906,pop,
Case,Missing You,284666,False,2001,55,612,579,1,-6417,0,0.0553,285,0.0,0.0556,716,86.31,"hip hop, pop, R&B",
112,Peaches & Cream,193093,False,2001,63,677,0.52,4,-6255,0,334,0.00277,0.0,0.0532,768,203862,"hip hop, pop, R&B",
Five,Let's Dance - Radio Edit,218626,False,2001,47,631,821,4,-7853,0,0.0867,0.00876,0.000247,293,547,118007,pop,
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,False,2001,54,464,922,0,-8399,1,0.0638,124,227,0.0546,695,129078,Dance/Electronic,
Alien Ant Farm,Smooth Criminal,209266,False,2001,75,653,964,9,-4261,0,0.0582,0.00316,0.00512,144,0.87,126928,"rock, metal",
Erick Sermon,Music (feat. Marvin Gaye),223133,True,2001,57,897,466,10,-9053,0,203,187,1.35e-06,0.0757,884,100.01,"hip hop, pop",
D12,Purple Pills,304506,True,2001,68,0.78,634,1,-5941,1,0.16,0.0199,2.98e-05,0.29,754,125.25,"hip hop, pop, rock",
Usher,Pop Ya Collar - Radio Edit,210813,False,2016,26,888,0.8,5,-3944,0,0.0946,0.0901,2.12e-05,229,866,106957,"hip hop, pop, R&B",
Madonna,Don't Tell Me,280973,False,2000,53,699,618,7,-7338,1,0.0594,0.0502,0.000925,0.0914,679,99965,pop,
Blue,If You Come Back,207560,False,2001,58,582,707,10,-4487,1,0.0319,0.0822,0.0,0.0467,701,78375,pop,
Atomic Kitten,Eternal Flame - Single Version,195506,False,2001,58,578,581,0,-6867,1,0.0318,0.0658,0.0042,0.0674,408,83293,pop,
Jagged Edge,Where the Party At (feat. Nelly),232573,False,2001,67,596,661,5,-6239,0,226,0.31,0.0,0.0847,0.86,129491,"hip hop, pop, R&B",
Afroman,Because I Got High,197760,True,2001,68,802,341,7,-8.56,1,488,169,0.0,0.0783,849,166.01,hip hop,
S Club 7,Don't Stop Movin',233626,False,2001,63,822,672,7,-6133,1,0.0329,0.0285,0.0,213,0.91,117033,pop,
Craig David,Fill Me In,257200,False,2000,60,682,744,8,-6981,1,0.0365,376,0.00951,0.06,827,132493,"hip hop, pop, R&B",
Nelly Furtado,Turn Off The Light,276106,False,2000,1,587,679,2,-6.26,1,0.0927,0.0839,0.000316,413,0.65,180184,"hip hop, pop, latin",
The Supermen Lovers,Starlight - Radio Edit,234400,False,2001,61,739,679,0,-5079,1,0.0373,0.000424,0.0187,389,786,127487,Dance/Electronic,
Mis-Teeq,All I Want - Sunship Radio Edit,207400,False,2004,46,795,919,9,-3.07,0,0.0835,0.37,0.00863,189,0.96,134079,"pop, Dance/Electronic",
Jagged Edge,Promise,246720,False,2000,56,751,568,5,-5431,0,0.0872,136,0.0,0.0288,646,128002,"hip hop, pop, R&B",
S Club 7,Have You Ever,201533,False,2001,60,585,702,0,-5734,1,0.0325,538,0.0,216,0.51,139909,pop,
Enya,Only Time,218546,False,2000,69,418,249,3,-13744,1,0.0301,841,661,112,213,82803,"World/Traditional, Folk/Acoustic",
Faith Hill,There You'll Be,222120,False,2001,60,321,511,8,-7.77,1,0.0306,513,0.0,127,0.17,128.98,"pop, country",
Ronan Keating,Lovin' Each Day,212973,False,2000,58,541,899,1,-6261,1,0.0633,0.0178,2.95e-06,286,829,106676,"pop, rock",
Destiny's Child,Bootylicious,207906,False,2001,64,0.84,835,1,-4386,0,275,0.00281,1.11e-06,152,637,103376,"pop, R&B",
Steps,It's the Way You Make Me Feel,197360,False,2000,53,573,665,8,-5081,1,0.0239,108,2.09e-06,95,347,105006,"pop, Dance/Electronic",
Sunshine Anderson,Heard It All Before,295826,False,2001,56,697,925,3,-4209,0,216,0.0614,0.0,95,678,96951,"pop, R&B",
Lenny Kravitz,Again,231666,False,2000,68,0.55,804,2,-5218,1,0.0271,0.0148,4.33e-05,105,789,79166,"rock, pop",
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,False,2002,46,836,762,7,-5044,0,0.0598,0.0826,5.48e-05,102,941,133592,pop,
DB Boulevard,Point Of View - Radio Edit,231166,False,2018,0,676,715,6,-6854,1,0.0287,0.00284,0.0746,0.0685,275,129006,Dance/Electronic,
Janet Jackson,All For You,329933,False,2001,65,753,934,2,-3011,1,0.0736,0.0174,65,128,0.73,113525,"pop, R&B",
Atomic Kitten,Whole Again,185013,False,2001,66,747,706,4,-4653,1,0.0413,0.0844,0.00355,174,567,94019,pop,
Ja Rule,Livin' It Up,257066,False,2001,64,874,768,6,-4086,1,311,0.0554,0.0,41,636,106095,"hip hop, pop, R&B",
Destiny's Child,"Independent Women, Pt. 1",221133,False,2001,65,0.73,602,6,-3782,0,206,362,3.69e-06,169,927,97954,"pop, R&B",
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,False,2001,54,847,877,2,-5424,1,0.0493,124,0.0,148,764,131044,Dance/Electronic,
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,True,2001,66,708,587,11,-7.93,0,151,273,0.0,0.0718,554,83.46,"hip hop, pop, R&B",
Musiq Soulchild,Love,304666,False,2000,0,569,385,1,-9919,0,0.0499,342,0.0,0.0876,339,99738,"pop, R&B",
So Solid Crew,21 Seconds,302826,True,2001,51,607,637,1,-11072,1,241,0.0191,0.0,124,818,137.03,Dance/Electronic,
Robbie Williams,Eternity,302760,False,2001,48,469,316,10,-8106,1,0.0265,504,6.04e-06,0.0919,199,77967,"pop, rock",
Basement Jaxx,Romeo,217493,False,2001,0,713,829,2,-4171,1,0.0491,0.00769,0.00203,139,844,126853,"pop, Dance/Electronic",
Ludacris,Southern Hospitality (Featuring Pharrell),300933,True,2000,54,623,896,0,-4719,1,247,35,0.0,0.0941,613,95158,"hip hop, pop",
Gabrielle,Rise,219093,False,2001,60,558,481,8,-9487,1,26,315,8.83e-06,0.09,631,144673,"pop, R&B",
Nelly,Ride Wit Me,291781,True,2000,75,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,244,722,101875,"hip hop, pop, R&B",
Trick Daddy,I'm a Thug,254400,True,2001,59,933,561,11,-5961,1,122,0.0275,0.0,102,586,139976,"hip hop, pop",
Travis,Sing,228800,False,2001,68,0.33,905,4,-5047,1,0.0497,0.000233,8.14e-06,0.0712,259,163142,"rock, pop",
JAY-Z,Izzo (H.O.V.A.),240626,True,2001,63,618,844,1,-4051,0,342,0.0178,0.000126,0.0634,697,84411,hip hop,
Gabrielle,Out Of Reach,196986,False,2001,69,0.51,0.48,11,-6567,1,0.0452,503,0.0,106,496,182862,"pop, R&B",
OPM,Heaven Is a Halfpipe (If I Die),257426,True,2000,56,743,894,8,-6886,1,0.0349,0.0755,0.00283,367,0.77,95.9,rock,
K-Ci & JoJo,Crazy,262773,False,2019,30,0.68,644,0,-4507,1,0.0258,84,0.0,549,484,116097,"pop, R&B",
Staind,It's Been Awhile,264706,True,2001,64,509,774,6,-4054,1,0.0338,0.00189,0.000549,143,0.0824,116529,"rock, metal",
3LW,No More (Baby I'ma Do Right),263440,False,2000,56,721,723,2,-7.08,0,0.0631,102,4.4e-06,0.0651,761,88933,"pop, R&B",
Ginuwine,Differences,265533,False,2001,65,562,594,3,-4578,0,0.0558,318,0.0,311,423,62876,"hip hop, pop, R&B",
